Timestamp,Gender,Work Sector,Educational Qualification,Age range,Do you have a permanent voters card?,Are you likely to vote when there is electoral violence around you?,"Are you likely to prevent a ""female"" loved one from going to vote after violence occurs?","Do you believe that violence deters women from participating in political activities such as rallies, elections, and campaigns?","In your opinion, does violence impact the confidence of women in engaging in political activities?",Did you vote in 2023 General Elections?,"If No, why not?",Have you ever witnessed any form of electoral violence during elections?,Have you ever witnessed any form of harassment on social media?
04/04/2024 20:59,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,No
04/04/2024 21:16,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/04/2024 21:42,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,Yes,Others,Yes,Yes
04/04/2024 21:53,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,No,No,Others,Yes,Yes
04/05/2024 00:34,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,No
04/05/2024 00:45,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Uncertain,Yes,Yes,Yes,Yes,Others,No,No
04/05/2024 12:18,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,No,No,No,No PVC,No,No
04/05/2024 14:07,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,60 and above,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/05/2024 14:16,Female,"Informal Sector (Artisans, Traders)",Btech,18-30,No,No,Yes,Yes,Yes,No,Others,No,Yes
04/05/2024 14:53,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,Yes,No,No,Uncertain,No,"Unavailable  (distance, health issues)",Yes,No
04/05/2024 17:52,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,No,Yes
04/05/2024 18:25,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,No,No,No,No PVC,No,No
04/05/2024 18:25,Male,"Informal Sector (Artisans, Traders)",SSCE and below,41-50,No,No,No,No,No,No,No PVC,No,No
04/06/2024 08:42,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,Others,Yes,No
04/07/2024 09:11,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,Others,Yes,Yes
04/07/2024 21:58,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
04/08/2024 07:53,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
04/08/2024 08:19,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Mbbs in view,18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/08/2024 08:48,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Uncertain,Yes,Others,Yes,No
04/08/2024 09:17,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,No,Yes,Others,Yes,No
04/08/2024 09:24,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/08/2024 10:28,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,Uncertain,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,No
04/08/2024 11:21,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Uncertain,Yes,Yes,Others,Uncertain,Yes
04/08/2024 11:40,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,No,No,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,No
04/08/2024 11:56,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,Uncertain,Yes,Yes,Yes,No,No PVC,Yes,No
04/08/2024 12:12,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",60 and above,Yes,No,Yes,Uncertain,Uncertain,No,Others,No,No
04/08/2024 14:42,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,51-60,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,No
04/08/2024 15:53,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",41-50,Yes,No,Yes,Yes,Yes,Yes,Others,No,Yes
04/08/2024 18:05,Female,"Informal Sector (Artisans, Traders)","ND, NCE",18-30,Yes,Yes,Uncertain,No,Yes,Yes,"Unavailable  (distance, health issues)",No,No
04/08/2024 19:22,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,No,Yes,Yes,Yes,No,No PVC,Yes,No
04/08/2024 19:26,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,Uncertain,Yes,Uncertain,Uncertain,No,Electoral Violence,Yes,No
04/08/2024 19:28,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,Yes,Yes,No,Others,No,Yes
04/08/2024 19:32,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,No
04/08/2024 20:21,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,No,No,No,No PVC,No,No
04/08/2024 20:40,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,No,Uncertain,No,Electoral Violence,Yes,Yes
04/08/2024 21:03,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",Yes,Uncertain
04/08/2024 21:45,Female,"Informal Sector (Artisans, Traders)","ND, NCE",18-30,No,Yes,Yes,Yes,Yes,No,No PVC,No,No
04/08/2024 21:49,Female,"Informal Sector (Artisans, Traders)",Undergraduate ,18-30,No,No,Yes,Yes,No,No,Electoral Violence,Yes,No
04/08/2024 21:50,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,Yes,Yes,No,No PVC,No,No
04/09/2024 05:35,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/09/2024 19:57,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,No,No,Yes,Others,No,Yes
04/09/2024 20:16,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/09/2024 21:50,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Uncertain,Uncertain
04/09/2024 22:04,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,No PVC,No,No
04/10/2024 03:04,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Uncertain,Yes,Yes,Others,Yes,Yes
04/10/2024 04:13,Female,"Informal Sector (Artisans, Traders)",SSCE and below,51-60,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/10/2024 11:24,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/11/2024 10:43,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",60 and above,Yes,No,Yes,No,No,Yes,Others,Uncertain,No
04/11/2024 10:52,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/11/2024 11:03,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/11/2024 11:24,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",51-60,Yes,No,No,Yes,No,Yes,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/11/2024 11:26,Male,"Informal Sector (Artisans, Traders)",Postgraduate,51-60,No,No,Yes,Yes,Yes,No,No PVC,No,No
04/11/2024 11:41,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/11/2024 11:43,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",41-50,Yes,No,Yes,Yes,No,Yes,Others,Yes,No
04/11/2024 11:49,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Yes,No,Yes,Yes,Yes,Others,Yes,Yes
04/11/2024 11:50,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Others,Yes,Yes
04/11/2024 11:51,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,No,Yes,Yes,Yes,Others,No,Yes
04/11/2024 11:55,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",18-30,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Uncertain
04/11/2024 11:57,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,No,No
04/11/2024 11:57,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",60 and above,Yes,Yes,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/11/2024 11:58,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/11/2024 11:59,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",41-50,Yes,Yes,Yes,Yes,Yes,Yes,Electoral Violence,Yes,Yes
04/11/2024 14:10,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Yes,Yes,Yes,Yes,Yes,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/11/2024 14:39,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",41-50,No,No,Yes,Yes,No,No,No PVC,No,No
04/11/2024 15:34,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/11/2024 19:26,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Yes,Yes,Yes,Yes,No,No PVC,Yes,Yes
4/13/2024 12:33:09,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Yes,No,No,No,Yes,Others,Yes,Yes
04/13/2024  17:57:21,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,No,No,No,No PVC,No,No
04/13/2024  18:05:14,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,Others,Yes,Yes
04/13/2024  18:06:25,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,No
04/13/2024  18:08:51,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,No
04/13/2024  18:10:35,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,Yes,Others,Yes,Yes
04/13/2024  18:12:22,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
04/13/2024  18:20:24,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,Yes,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,No
04/13/2024  18:29:12,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Yes,Yes,No,No,No,Others,Uncertain,No
04/13/2024  18:44:45,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",31-40,No,Yes,Yes,Uncertain,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/13/2024  18:49:07,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
04/13/2024  18:50:17,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,Yes,No,No PVC,No,No
04/13/2024  18:52:38,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,Yes
04/13/2024  19:01:57,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,Uncertain,Yes,Uncertain,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/13/2024  19:03:37,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,Yes
04/13/2024  19:03:49,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,No,No,No PVC,No,Yes
04/13/2024  19:15:34,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
04/13/2024  19:17:11,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Others,No,No
04/13/2024  19:20:55,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,No PVC,No,No
04/13/2024  19:31:50,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",41-50,Yes,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",No,No
04/13/2024  19:35:24,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,No,Yes,Yes,No,Electoral Violence,No,No
04/13/2024  19:41:50,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/13/2024  19:45:23,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,No,No,Yes,No,No,No,No PVC,Yes,Yes
04/13/2024  20:21:33,Male,"Informal Sector (Artisans, Traders)",Postgraduate,31-40,Yes,No,Yes,No,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/13/2024  20:46:40,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,Others,No,Yes
04/13/2024  20:59:30,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,No
04/13/2024  21:16:50,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",51-60,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/13/2024  21:42:21,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,41-50,Yes,No,Yes,Yes,Yes,Yes,Others,Yes,Yes
04/13/2024  21:53:14,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,Yes,No,No,Others,Yes,Yes
04/14/2024  00:34:44,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,No
04/14/2024  00:45:47,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,Uncertain,Yes,Yes,Yes,Yes,Others,No,No
04/14/2024  12:18:31,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,No,No,No,No PVC,No,No
04/14/2024  14:07:58,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,41-50,Yes,No,Yes,Yes,Yes,No,Electoral Violence,Yes,Yes
04/14/2024  14:16:23,Female,"Informal Sector (Artisans, Traders)",Btech,18-30,No,No,Yes,Yes,Yes,No,Others,No,Yes
04/14/2024  14:53:24,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,Yes,No,No,Uncertain,No,"Unavailable  (distance, health issues)",Yes,No
04/14/2024  17:52:37,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,Yes,Yes,Yes,Yes,Yes,Others,No,Yes
04/14/2024  18:25:01,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,No,No,No,No,No PVC,No,No
04/14/2024  18:25:55,Male,"Informal Sector (Artisans, Traders)",SSCE and below,41-50,Yes,No,No,No,No,No,No PVC,No,No
04/14/2024  08:42:58,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,Others,Yes,No
04/14/2024  09:11:37,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,Others,Yes,Yes
04/14/2024  21:58:00,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,Yes,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
04/14/2024  07:53:59,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
04/14/2024  08:19:07,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Mbbs in view,18-30,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/14/2024  08:48:00,Female,"Informal Sector (Artisans, Traders)",SSCE and below,51-60,Yes,No,Yes,Yes,Uncertain,Yes,Others,Yes,No
04/14/2024  09:17:52,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,No,Yes,Others,Yes,No
04/14/2024  09:24:55,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/14/2024  10:28:46,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,Uncertain,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Yes,No
04/14/2024  11:21:37,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Uncertain,Yes,Yes,Others,Uncertain,Yes
04/14/2024  11:40:38,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,No,No,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,No
04/14/2024  11:56:40,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",51-60,No,Uncertain,Yes,Yes,Yes,No,No PVC,Yes,No
04/14/2024  12:12:45,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Uncertain,Uncertain,No,Others,No,No
04/14/2024  14:42:29,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,51-60,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,No
04/14/2024  15:53:50,Male,"Informal Sector (Artisans, Traders)","HND, B.Sc.",41-50,Yes,No,Yes,Yes,Yes,Yes,Others,No,Yes
04/14/2024  18:05:23,Female,"Informal Sector (Artisans, Traders)","ND, NCE",18-30,Yes,Yes,Uncertain,No,Yes,Yes,"Unavailable  (distance, health issues)",No,No
04/14/2024  19:22:45,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,No,Yes,Yes,Yes,No,No PVC,Yes,No
04/14/2024  19:26:34,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,No,Uncertain,Yes,Uncertain,Uncertain,No,Electoral Violence,Yes,No
04/14/2024  19:28:55,Male,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,Yes,Yes,No,Others,No,Yes
04/14/2024  19:32:13,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",60 and above,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,No
04/14/2024  20:21:35,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,No,Yes,No,No,No,No PVC,No,No
04/14/2024  20:40:27,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,No,Uncertain,No,Electoral Violence,Yes,Yes
04/14/2024  21:03:15,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",Yes,Uncertain
04/14/2024  21:45:10,Female,"Informal Sector (Artisans, Traders)","ND, NCE",18-30,No,Yes,Yes,Yes,Yes,No,No PVC,No,No
04/14/2024  21:49:56,Female,"Informal Sector (Artisans, Traders)",Undergraduate ,18-30,No,No,Yes,Yes,No,No,Electoral Violence,Yes,No
04/14/2024  21:50:58,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,Yes,Yes,No,No PVC,No,No
